order_id,order_date,category,brand,city,customer_rating,price,quantity,review,is_active,customer_id
E-0000022,2023-12-27,Clothing,Brand Alpha,Karachi,4,69.15,2,color faded after wash,True,C-53
E-0000023,2023-10-04,Home,Brand Alpha,New York,3,191.49,2,assembly was hard,False,C-154
E-0000024,2023-11-01,Home,Brand Alpha,Lahore,3,150.67,3,cheap materials,True,C-1093
E-0000025,2023-08-21,Books,Brand Alpha,London,3,152.71,1,well written,True,C-541
E-0000026,2024-05-27,Electronics,Brand Gamma,New York,2,229.7,2,love it,True,C-1426
E-0000027,2025-01-17,Home,Brand Beta,Dubai,3,346.41,2,looks premium,True,C-1149
E-0000028,2024-07-15,Clothing,Brand Beta,London,4,101.76,2,comfortable and stylish,True,C-1313
E-0000029,2024-07-16,Electronics,Brand Delta,Lahore,4,247.4,1,works great,True,C-739
E-0000030,2024-01-09,Books,Brand Delta,Dubai,4,239.18,1,print quality good,True,C-150
E-0000031,2024-02-21,Sports,Brand Alpha,Karachi,1,217.15,3,good grip,False,C-1183
E-0000032,2023-08-18,Sports,Brand Alpha,Karachi,3,362.75,2,broke after week,True,C-1139
E-0000033,2024-11-30,Clothing,Brand Delta,Lahore,3,126.78,3,fits perfectly,True,C-1454
E-0000034,2024-02-15,Books,Brand Beta,Islamabad,3,130.68,1,print quality good,True,C-784
E-0000035,2024-05-10,Clothing,Brand Beta,Karachi,2,242.22,2,color faded after wash,False,C-1179
E-0000036,2024-04-11,Electronics,Brand Delta,Karachi,2,17.82,2,works great,True,C-526
E-0000037,2023-09-22,Beauty,Brand Beta,Karachi,4,241.13,1,too expensive,True,C-38
E-0000038,2024-06-11,Books,Brand Gamma,London,4,12.11,2,well written,True,C-710
E-0000039,2024-06-17,Sports,Brand Beta,Lahore,4,361.32,3,great for training,True,C-853
E-0000040,2024-10-30,Electronics,Brand Gamma,Islamabad,4,258.27,2,highly recommend,True,C-51
E-0000041,2024-07-14,Clothing,Brand Delta,London,4,66.85,4,too small,True,C-605
E-0000042,2023-12-01,Home,Brand Alpha,Karachi,3,348.81,1,would buy again,True,C-522
E-0000043,2023-06-25,Books,Brand Alpha,Lahore,3,137.24,2,fast delivery,True,C-34
E-0000044,2024-07-02,Beauty,Brand Delta,Karachi,4,205.03,2,skin felt great,False,C-753
E-0000045,2024-03-07,Books,Brand Alpha,New York,5,357.2,2,informative,True,C-102
E-0000046,2024-03-06,Books,Brand Alpha,Dubai,4,149.36,4,fast delivery,True,C-1192
E-0000047,2023-09-23,Home,Brand Beta,Dubai,2,201.54,1,looks premium,True,C-121
E-0000048,2024-10-26,Electronics,Brand Gamma,Islamabad,3,288.08,2,battery dies fast,True,C-485
E-0000049,2024-05-01,Clothing,Brand Beta,Karachi,4,310.36,1,too small,True,C-1131
E-0000050,2023-09-05,Books,Brand Delta,London,5,274.07,1,well written,True,C-1451
E-0000051,2024-01-21,Home,Brand Delta,Lahore,3,354.47,1,assembly was hard,True,C-1084
E-0000052,2024-06-13,Sports,Brand Delta,Dubai,3,74.67,2,broke after week,True,C-1337
E-0000053,2024-06-02,Electronics,Brand Beta,Dubai,4,216.9,1,love it,True,C-940
E-0000054,2023-09-18,Sports,Brand Gamma,New York,3,243.01,2,great for training,True,C-195
E-0000055,2023-08-20,Sports,Brand Delta,Dubai,4,121.47,1,broke after week,True,C-1218
E-0000056,2024-03-01,Books,Brand Beta,Karachi,3,193.44,2,print quality good,True,C-693
E-0000057,2024-06-15,Sports,Brand Beta,Dubai,5,100.36,1,poor durability,True,C-147
E-0000058,2023-12-05,Beauty,Brand Beta,London,3,142.08,2,recommend,True,C-1091
E-0000059,2024-02-17,Beauty,Brand Alpha,London,5,77.65,2,caused irritation,True,C-1427
E-0000060,2024-08-28,Beauty,Brand Gamma,London,1,190.0,2,nice scent,True,C-522
E-0000061,2024-03-08,Clothing,Brand Delta,Dubai,4,352.4,2,too small,True,C-714
E-0000062,2024-02-07,Sports,Brand Delta,Lahore,4,137.68,2,good grip,True,C-201
E-0000063,2023-06-24,Books,Brand Gamma,Dubai,1,117.89,3,print quality good,False,C-295
E-0000064,2023-10-05,Books,Brand Delta,Islamabad,5,368.25,2,well written,False,C-160
E-0000065,2023-11-30,Books,Brand Delta,New York,3,203.78,3,well written,True,C-940
E-0000066,2025-01-06,Electronics,Brand Beta,Islamabad,3,105.5,2,excellent quality,True,C-921
E-0000067,2023-06-10,Electronics,Brand Gamma,London,5,213.29,2,poor build,True,C-484
E-0000068,2023-08-10,Electronics,Brand Beta,New York,4,327.92,1,disappointed with durability,True,C-366
E-0000069,2023-08-22,Sports,Brand Beta,New York,5,88.35,2,broke after week,True,C-1466
E-0000070,2024-02-24,Home,Brand Alpha,Lahore,2,158.1,1,cheap materials,True,C-1091
E-0000071,2023-06-18,Beauty,Brand Gamma,Lahore,5,204.05,4,skin felt great,True,C-564
E-0000072,2023-09-14,Beauty,Brand Alpha,Karachi,3,150.98,2,too expensive,True,C-1062
E-0000073,2023-09-13,Clothing,Brand Beta,New York,3,243.35,3,comfortable and stylish,True,C-697
E-0000074,2024-04-18,Beauty,Brand Gamma,New York,3,325.06,2,too expensive,True,C-1496
E-0000075,2024-05-17,Books,Brand Delta,Dubai,4,121.32,3,informative,False,C-972
E-0000076,2023-11-23,Clothing,Brand Beta,Islamabad,4,256.98,2,color faded after wash,True,C-1372
E-0000077,2024-12-08,Clothing,Brand Alpha,Islamabad,5,315.88,1,great value,True,C-514
E-0000078,2023-12-01,Sports,Brand Beta,New York,4,113.52,2,great for training,False,C-838
E-0000079,2024-03-21,Sports,Brand Alpha,Islamabad,2,279.05,1,broke after week,True,C-1269
E-0000080,2024-09-15,Clothing,Brand Delta,London,5,95.9,2,nice fabric,True,C-1145
E-0000081,2024-05-04,Sports,Brand Gamma,Islamabad,4,81.26,3,great for training,True,C-1176
E-0000082,2024-03-11,Clothing,Brand Gamma,Dubai,4,195.69,2,nice fabric,True,C-408
E-0000083,2024-07-16,Beauty,Brand Beta,New York,5,228.09,2,caused irritation,True,C-174
E-0000084,2023-08-11,Sports,Brand Delta,Islamabad,3,239.54,2,poor durability,True,C-51
E-0000085,2023-11-19,Beauty,Brand Beta,Islamabad,3,182.23,2,nice scent,True,C-1112
E-0000086,2024-02-15,Sports,Brand Alpha,Dubai,2,270.21,1,good grip,True,C-1100
E-0000087,2024-03-22,Home,Brand Delta,Lahore,3,346.41,2,assembly was hard,True,C-1178
E-0000088,2024-10-27,Electronics,Brand Beta,Dubai,4,56.14,1,excellent quality,True,C-118
E-0000089,2024-06-15,Beauty,Brand Alpha,Karachi,4,68.23,1,skin felt great,False,C-300
E-0000090,2024-03-29,Sports,Brand Beta,London,4,116.35,1,great for training,True,C-900
E-0000091,2024-01-05,Clothing,Brand Beta,Karachi,4,252.13,1,great value,True,C-704
E-0000092,2023-08-20,Books,Brand Beta,Lahore,3,275.99,3,fast delivery,True,C-380
E-0000093,2023-09-19,Beauty,Brand Beta,Islamabad,4,399.1,3,skin felt great,True,C-837
E-0000094,2024-10-22,Clothing,Brand Alpha,Islamabad,3,102.86,2,fits perfectly,False,C-843
E-0000095,2023-10-23,Sports,Brand Gamma,Islamabad,4,295.33,2,poor durability,True,C-1212
E-0000096,2024-05-08,Sports,Brand Alpha,London,3,16.95,2,great for training,True,C-607
E-0000097,2023-12-15,Books,Brand Delta,Karachi,4,122.65,2,informative,True,C-879
E-0000098,2024-02-03,Home,Brand Gamma,New York,4,129.06,1,assembly was hard,True,C-395
E-0000099,2024-05-18,Electronics,Brand Gamma,Lahore,2,305.58,2,love it,True,C-6
E-0000100,2024-08-17,Sports,Brand Delta,Karachi,2,89.67,3,good grip,True,C-1398
E-0000101,2024-01-23,Beauty,Brand Alpha,Islamabad,5,186.56,2,too expensive,True,C-190
E-0000102,2024-08-10,Electronics,Brand Beta,Dubai,3,253.2,3,battery dies fast,True,C-1461
E-0000103,2024-10-08,Beauty,Brand Beta,Dubai,2,225.56,1,caused irritation,False,C-1116
E-0000104,2024-05-29,Beauty,Brand Delta,Dubai,2,285.64,3,nice scent,False,C-271
E-0000105,2023-12-29,Sports,Brand Alpha,Dubai,3,342.3,2,poor durability,True,C-263
E-0000106,2023-08-11,Electronics,Brand Beta,Islamabad,3,218.68,2,excellent quality,True,C-524
E-0000107,2025-01-15,Home,Brand Alpha,Islamabad,5,239.7,3,very useful,False,C-908
E-0000108,2024-06-15,Clothing,Brand Delta,Dubai,2,362.62,2,too small,False,C-1214
E-0000109,2023-09-04,Home,Brand Delta,Lahore,4,152.25,3,very useful,True,C-1392
E-0000110,2024-10-06,Sports,Brand Beta,Karachi,4,44.45,4,great for training,True,C-1467
E-0000111,2023-09-29,Beauty,Brand Gamma,Dubai,4,177.07,3,caused irritation,True,C-358
E-0000112,2024-10-22,Sports,Brand Alpha,Karachi,3,187.61,3,good grip,True,C-1464
E-0000113,2024-04-13,Clothing,Brand Gamma,Karachi,3,204.2,1,too small,True,C-11
E-0000114,2024-09-29,Clothing,Brand Delta,London,5,354.02,1,nice fabric,True,C-56
E-0000115,2024-08-29,Beauty,Brand Alpha,Islamabad,3,133.2,1,nice scent,True,C-1227
E-0000116,2024-03-11,Home,Brand Beta,London,4,194.0,1,assembly was hard,False,C-747
E-0000117,2023-10-07,Electronics,Brand Alpha,London,4,90.51,2,excellent quality,True,C-656
E-0000118,2024-04-15,Sports,Brand Delta,Dubai,3,372.57,1,great for training,True,C-38
E-0000119,2024-03-14,Sports,Brand Delta,Islamabad,3,272.09,1,poor durability,False,C-124
E-0000120,2024-10-11,Electronics,Brand Gamma,New York,4,110.87,2,works great,True,C-884
E-0000121,2023-07-19,Clothing,Brand Beta,Karachi,4,240.07,2,great value,True,C-540
E-0000122,2024-09-11,Beauty,Brand Delta,London,1,118.12,2,nice scent,True,C-486
E-0000123,2024-03-05,Home,Brand Delta,Dubai,4,172.2,2,would buy again,True,C-495
E-0000124,2024-04-15,Clothing,Brand Gamma,Dubai,3,264.94,1,comfortable and stylish,True,C-1205
E-0000125,2024-08-20,Clothing,Brand Delta,New York,3,162.59,3,nice fabric,True,C-217
E-0000126,2023-06-22,Beauty,Brand Delta,Karachi,4,105.67,3,caused irritation,True,C-924
E-0000127,2023-09-18,Beauty,Brand Beta,Karachi,4,31.01,1,recommend,True,C-429
E-0000128,2023-10-10,Electronics,Brand Gamma,Lahore,1,186.25,4,,False,C-154
E-0000129,2024-12-02,Sports,Brand Gamma,London,2,369.21,1,good grip,True,C-1310
E-0000130,2023-12-12,Beauty,Brand Delta,New York,1,331.17,2,nice scent,True,C-1423
E-0000131,2024-11-26,Sports,Brand Beta,Islamabad,4,184.81,2,good grip,True,C-471
E-0000132,2024-04-20,Beauty,Brand Alpha,London,5,297.36,2,caused irritation,True,C-221
E-0000133,2024-08-05,Clothing,Brand Beta,Karachi,5,113.7,2,great value,True,C-472
E-0000134,2023-06-17,Beauty,Brand Delta,Karachi,4,51.81,1,recommend,True,C-457
E-0000135,2024-09-14,Home,Brand Gamma,Karachi,3,126.33,2,looks premium,True,C-203
E-0000136,2024-10-07,Books,Brand Delta,Islamabad,5,145.6,1,boring content,True,C-900
E-0000137,2024-02-06,Home,Brand Gamma,Karachi,2,218.82,3,looks premium,True,C-1198
E-0000138,2023-10-04,Sports,Brand Gamma,New York,4,290.97,1,great for training,False,C-232
E-0000139,2024-05-11,Sports,Brand Alpha,Islamabad,4,394.42,2,great for training,True,C-665
E-0000140,2024-07-13,Books,Brand Alpha,London,4,368.07,1,fast delivery,True,C-891
E-0000141,2024-11-17,Electronics,Brand Beta,London,3,365.21,1,,True,C-647
E-0000142,2023-06-17,Electronics,Brand Gamma,London,4,15.66,4,battery dies fast,True,C-974
E-0000143,2024-09-27,Home,Brand Delta,Karachi,4,159.36,2,would buy again,True,C-333
E-0000144,2024-10-03,Books,Brand Delta,Dubai,3,137.86,3,boring content,True,C-824
E-0000145,2024-02-08,Books,Brand Alpha,London,3,379.57,2,print quality good,True,C-965
E-0000146,2024-03-06,Books,Brand Alpha,Dubai,3,,6,boring content,True,C-1435
E-0000147,2023-07-08,Clothing,Brand Beta,New York,5,139.08,1,nice fabric,True,C-323
E-0000148,2025-01-18,Electronics,Brand Beta,Islamabad,2,212.9,4,love it,True,C-664
E-0000149,2024-11-11,Sports,Brand Alpha,Islamabad,2,39.9,2,broke after week,True,C-780
E-0000150,2024-01-26,Beauty,Brand Gamma,Karachi,5,116.98,3,skin felt great,True,C-918
E-0000151,2024-05-20,Books,Brand Alpha,Lahore,4,262.83,1,informative,True,C-378
E-0000152,2024-12-13,Sports,Brand Delta,Islamabad,5,281.11,3,poor durability,True,C-1097
E-0000153,2023-09-10,Clothing,Brand Delta,Karachi,4,258.76,2,comfortable and stylish,True,C-208
E-0000154,2024-02-19,Beauty,Brand Gamma,Dubai,4,130.7,3,recommend,False,C-1392
E-0000155,2024-01-15,Home,Brand Delta,London,5,356.54,1,assembly was hard,True,C-1285
E-0000156,2023-10-01,Books,Brand Alpha,London,4,122.67,1,informative,True,C-199
E-0000157,2024-11-03,Beauty,Brand Gamma,Karachi,3,22.58,2,recommend,True,C-928
E-0000158,2023-10-30,Beauty,Brand Delta,Islamabad,4,136.93,2,recommend,True,C-1150
E-0000159,2023-11-06,Books,Brand Delta,Islamabad,3,371.37,4,,True,C-1012
E-0000160,2023-06-10,Sports,Brand Delta,Islamabad,3,220.9,2,broke after week,True,C-216
E-0000161,2024-01-28,Sports,Brand Gamma,London,5,35.49,1,good grip,True,C-151
E-0000162,2024-02-23,Home,Brand Beta,Islamabad,4,48.44,4,looks premium,True,C-493
E-0000163,2023-07-13,Clothing,Brand Gamma,Lahore,4,369.87,2,fits perfectly,True,C-1372
E-0000164,2024-04-03,Sports,Brand Delta,Dubai,4,217.27,1,broke after week,False,C-759
E-0000165,2023-11-01,Beauty,Brand Alpha,Lahore,3,207.72,2,nice scent,True,C-263
E-0000166,2023-11-22,Clothing,Brand Gamma,Islamabad,2,342.14,2,fits perfectly,True,C-172
E-0000167,2023-08-24,Books,Brand Gamma,Karachi,3,291.15,1,boring content,True,C-1254
E-0000168,2024-06-19,Sports,Brand Alpha,London,3,176.18,2,poor durability,True,C-1385
E-0000169,2023-12-31,Clothing,Brand Beta,Dubai,1,72.78,3,seams came apart,True,C-845
E-0000170,2024-12-02,Home,Brand Delta,New York,4,352.41,2,looks premium,True,C-968
E-0000171,2023-12-18,Home,Brand Delta,London,5,22.89,1,looks premium,False,C-968
E-0000172,2024-07-13,Books,Brand Gamma,Dubai,3,14.29,3,informative,True,C-774
E-0000173,2023-06-18,Home,Brand Alpha,Islamabad,3,105.75,1,assembly was hard,True,C-1405
E-0000174,2024-07-26,Electronics,Brand Alpha,Lahore,3,11.19,2,disappointed with durability,True,C-281
E-0000175,2024-06-02,Beauty,Brand Beta,Dubai,3,,3,nice scent,True,C-1249
E-0000176,2023-12-10,Electronics,Brand Alpha,Karachi,2,229.54,1,excellent quality,True,C-867
E-0000177,2023-11-15,Home,Brand Gamma,Dubai,5,138.32,1,cheap materials,True,C-1017
E-0000178,2023-11-01,Electronics,Brand Beta,New York,3,259.41,3,,False,C-382
E-0000179,2023-11-19,Clothing,Brand Gamma,Lahore,2,322.93,1,comfortable and stylish,True,C-950
E-0000180,2023-08-08,Clothing,Brand Beta,Karachi,2,19.73,1,seams came apart,True,C-590
E-0000181,2024-01-02,Sports,Brand Delta,Dubai,4,163.56,2,good grip,True,C-1127
E-0000182,2024-12-11,Clothing,Brand Gamma,New York,4,134.47,3,comfortable and stylish,True,C-196
E-0000183,2024-09-26,Electronics,Brand Alpha,London,4,136.14,1,works great,True,C-1229
E-0000184,2024-04-29,Sports,Brand Gamma,Islamabad,4,240.47,1,poor durability,True,C-1141
E-0000185,2023-11-28,Books,Brand Delta,London,3,374.3,1,print quality good,True,C-328
E-0000186,2023-11-01,Books,Brand Gamma,Karachi,2,94.11,1,well written,True,C-673
E-0000187,2023-09-26,Beauty,Brand Delta,New York,4,345.61,5,nice scent,True,C-763
E-0000188,2024-11-06,Beauty,Brand Gamma,Karachi,3,373.09,4,caused irritation,True,C-457
E-0000189,2024-06-12,Electronics,Brand Delta,New York,3,92.43,3,poor build,True,C-1221
E-0000190,2024-02-02,Beauty,Brand Delta,Lahore,3,304.63,2,caused irritation,True,C-1292
E-0000191,2023-07-02,Clothing,Brand Alpha,Islamabad,2,115.57,1,comfortable and stylish,False,C-485
E-0000192,2024-06-08,Beauty,Brand Beta,New York,2,335.34,2,too expensive,True,C-508
E-0000193,2024-07-12,Home,Brand Delta,London,3,351.1,2,cheap materials,True,C-913
E-0000194,2024-02-05,Beauty,Brand Gamma,Lahore,4,234.57,3,too expensive,False,C-1414
E-0000195,2025-01-17,Home,Brand Gamma,Islamabad,3,370.64,1,looks premium,True,C-802
E-0000196,2024-03-25,Home,Brand Alpha,New York,4,217.59,2,cheap materials,True,C-1032
E-0000197,2024-10-07,Home,Brand Gamma,Islamabad,5,50.96,3,very useful,True,C-1013
E-0000198,2023-07-05,Sports,Brand Alpha,Dubai,3,41.63,2,good grip,True,C-895
E-0000199,2023-11-15,Sports,Brand Alpha,Islamabad,3,34.57,2,broke after week,True,C-1104
E-0000200,2023-07-02,Home,Brand Beta,Karachi,5,57.67,1,looks premium,True,C-1336
E-0000201,2023-07-06,Electronics,Brand Alpha,Dubai,1,265.66,1,battery dies fast,True,C-293
E-0000202,2024-07-21,Electronics,Brand Beta,Lahore,3,334.8,1,average at best,True,C-417
E-0000203,2024-02-23,Clothing,Brand Beta,Karachi,4,358.32,1,too small,True,C-467
E-0000204,2024-09-04,Electronics,Brand Beta,Lahore,4,394.31,3,love it,True,C-708
E-0000205,2023-07-15,Electronics,Brand Gamma,Lahore,2,183.71,1,battery dies fast,True,C-679
E-0000206,2025-01-11,Beauty,Brand Alpha,New York,3,156.61,2,skin felt great,False,C-134
E-0000207,2024-05-31,Clothing,Brand Beta,Dubai,4,176.84,1,great value,True,C-146
E-0000208,2024-04-20,Sports,Brand Beta,Lahore,3,83.96,1,good grip,True,C-628
E-0000209,2023-12-19,Sports,Brand Delta,Karachi,3,360.14,1,poor durability,True,C-242
E-0000210,2024-12-11,Home,Brand Alpha,London,4,276.85,3,very useful,True,C-976
E-0000211,2023-06-28,Beauty,Brand Gamma,Lahore,4,73.59,2,skin felt great,True,C-370
E-0000212,2023-07-01,Beauty,Brand Gamma,Islamabad,4,363.4,3,caused irritation,True,C-947
E-0000213,2024-09-02,Sports,Brand Alpha,Islamabad,3,30.28,1,poor durability,True,C-1292
E-0000214,2025-01-05,Clothing,Brand Beta,Karachi,3,362.86,1,too small,True,C-1372
E-0000215,2023-07-22,Home,Brand Delta,London,3,53.44,1,would buy again,True,C-960
E-0000216,2023-12-08,Sports,Brand Gamma,Islamabad,2,350.29,3,great for training,True,C-4
E-0000217,2023-08-23,Sports,Brand Gamma,Lahore,3,289.95,2,poor durability,True,C-826
E-0000218,2023-12-01,Electronics,Brand Gamma,Islamabad,2,309.74,1,disappointed with durability,True,C-147
E-0000219,2023-08-27,Electronics,Brand Gamma,London,4,210.8,1,disappointed with durability,True,C-1188
E-0000220,2024-09-02,Home,Brand Beta,Lahore,3,395.07,2,looks premium,True,C-75
E-0000221,2024-11-04,Sports,Brand Delta,London,3,275.0,1,broke after week,True,C-1068
E-0000222,2024-07-10,Beauty,Brand Gamma,New York,3,364.95,2,nice scent,True,C-885
E-0000223,2024-09-13,Clothing,Brand Delta,New York,4,45.51,1,fits perfectly,True,C-385
E-0000224,2024-04-12,Sports,Brand Delta,New York,4,301.35,1,poor durability,True,C-56
E-0000225,2024-12-05,Sports,Brand Delta,London,3,132.25,3,good grip,True,C-1078
E-0000226,2024-09-23,Electronics,Brand Delta,New York,4,339.56,1,love it,True,C-1296
E-0000227,2024-12-03,Clothing,Brand Gamma,Islamabad,3,285.8,1,great value,True,C-259
E-0000228,2024-08-16,Beauty,Brand Delta,Islamabad,4,350.26,2,skin felt great,False,C-415
E-0000229,2024-06-26,Books,Brand Gamma,Lahore,5,368.04,2,informative,True,C-705
E-0000230,2023-08-20,Sports,Brand Delta,Islamabad,2,159.08,4,poor durability,True,C-848
E-0000231,2023-12-12,Home,Brand Alpha,Lahore,4,186.46,1,very useful,True,C-667
E-0000232,2024-05-05,Books,Brand Delta,New York,2,316.6,1,boring content,False,C-429
E-0000233,2025-01-10,Beauty,Brand Alpha,Karachi,4,147.64,2,caused irritation,False,C-733
E-0000234,2024-09-24,Books,Brand Alpha,London,4,115.21,1,fast delivery,True,C-1331
E-0000235,2024-03-05,Beauty,Brand Gamma,Lahore,5,304.22,1,skin felt great,True,C-1270
E-0000236,2024-10-10,Sports,Brand Delta,New York,4,21.92,2,good grip,True,C-395
E-0000237,2023-09-20,Books,Brand Delta,Dubai,5,276.44,2,fast delivery,False,C-1110
E-0000238,2024-12-21,Electronics,Brand Gamma,New York,3,331.38,1,love it,True,C-539
E-0000239,2024-03-12,Books,Brand Gamma,Karachi,4,398.93,3,print quality good,True,C-414
E-0000240,2024-10-18,Books,Brand Delta,New York,1,287.19,4,fast delivery,True,C-9
E-0000241,2025-01-06,Sports,Brand Beta,Karachi,4,287.83,4,great for training,False,C-512
E-0000242,2024-10-23,Clothing,Brand Delta,London,5,42.56,2,fits perfectly,True,C-657
E-0000243,2024-09-30,Electronics,Brand Gamma,London,4,252.72,1,average at best,True,C-1026
E-0000244,2024-06-21,Beauty,Brand Alpha,New York,3,379.0,1,caused irritation,True,C-119
E-0000245,2023-06-13,Beauty,Brand Beta,New York,3,24.65,1,too expensive,True,C-75
E-0000246,2023-12-11,Clothing,Brand Alpha,Dubai,4,77.42,2,great value,True,C-1365
E-0000247,2024-10-19,Home,Brand Delta,New York,1,51.98,4,cheap materials,True,C-613
E-0000248,2023-11-19,Books,Brand Beta,London,3,394.67,1,well written,True,C-29
E-0000249,2023-06-26,Home,Brand Beta,Karachi,3,138.06,2,assembly was hard,True,C-1249
E-0000250,2023-10-26,Electronics,Brand Delta,Karachi,3,286.3,2,excellent quality,True,C-1449
E-0000251,2024-06-28,Clothing,Brand Beta,New York,2,77.48,2,great value,True,C-224
E-0000252,2024-10-17,Clothing,Brand Beta,Lahore,3,332.92,1,comfortable and stylish,True,C-51
E-0000253,2024-11-04,Home,Brand Gamma,Dubai,4,298.18,2,cheap materials,True,C-800
E-0000254,2024-05-05,Clothing,Brand Beta,Dubai,3,361.24,1,great value,True,C-1074
E-0000255,2024-02-08,Sports,Brand Beta,London,4,45.75,2,great for training,True,C-863
E-0000256,2023-10-30,Sports,Brand Gamma,Islamabad,3,160.27,1,broke after week,True,C-898
E-0000257,2023-06-01,Home,Brand Alpha,Lahore,5,137.15,3,cheap materials,False,C-730
E-0000258,2024-08-07,Electronics,Brand Alpha,Islamabad,4,283.59,2,average at best,True,C-34
E-0000259,2023-10-17,Home,Brand Beta,Dubai,3,61.33,1,cheap materials,True,C-1301
E-0000260,2025-01-14,Electronics,Brand Gamma,Islamabad,2,256.07,2,average at best,True,C-1276
E-0000261,2023-06-12,Electronics,Brand Beta,Dubai,2,389.61,1,works great,True,C-1434
E-0000262,2024-08-28,Home,Brand Gamma,Islamabad,4,275.13,3,very useful,True,C-925
E-0000263,2024-03-14,Electronics,Brand Beta,Dubai,3,52.48,1,excellent quality,False,C-290
E-0000264,2024-12-20,Clothing,Brand Delta,Dubai,4,275.71,3,too small,True,C-1204
E-0000265,2023-09-17,Books,Brand Gamma,Karachi,5,357.39,3,print quality good,True,C-73
E-0000266,2024-07-25,Books,Brand Alpha,London,2,341.07,2,boring content,True,C-323
E-0000267,2024-10-27,Home,Brand Gamma,Dubai,5,216.17,1,looks premium,True,C-1379
E-0000268,2024-02-18,Sports,Brand Gamma,Dubai,4,357.14,3,broke after week,True,C-1463
E-0000269,2024-07-04,Sports,Brand Delta,New York,1,,1,good grip,False,C-1292
E-0000270,2024-02-12,Beauty,Brand Delta,Islamabad,3,240.07,2,nice scent,True,C-952
E-0000271,2024-03-19,Books,Brand Gamma,Lahore,2,243.68,2,print quality good,True,C-641
E-0000272,2023-11-26,Books,Brand Alpha,Karachi,2,232.86,1,print quality good,True,C-1170
E-0000273,2024-08-19,Home,Brand Gamma,New York,4,372.35,3,looks premium,True,C-548
E-0000274,2024-04-15,Beauty,Brand Alpha,London,5,154.29,2,too expensive,True,C-1090
E-0000275,2024-02-24,Home,Brand Gamma,Islamabad,4,323.07,3,cheap materials,True,C-959
E-0000276,2024-11-25,Books,Brand Gamma,Dubai,5,78.5,1,informative,True,C-41
E-0000277,2024-10-03,Sports,Brand Delta,Karachi,3,246.9,4,good grip,True,C-589
E-0000278,2024-02-26,Electronics,Brand Gamma,London,2,128.84,1,average at best,False,C-698
E-0000279,2024-11-23,Home,Brand Beta,Dubai,3,338.06,3,cheap materials,True,C-715
E-0000280,2024-09-25,Books,Brand Gamma,Islamabad,5,65.07,1,print quality good,True,C-37
E-0000281,2024-09-02,Electronics,Brand Alpha,Dubai,4,303.27,2,excellent quality,True,C-139
E-0000282,2024-03-19,Electronics,Brand Delta,Islamabad,3,342.58,1,love it,True,C-149
E-0000283,2024-06-08,Clothing,Brand Alpha,New York,5,107.2,4,fits perfectly,True,C-905
E-0000284,2024-05-02,Books,Brand Delta,Dubai,3,57.12,4,well written,True,C-9
E-0000285,2023-09-30,Sports,Brand Alpha,New York,5,322.62,1,great for training,True,C-1074
E-0000286,2024-03-03,Home,Brand Gamma,Lahore,2,38.91,2,assembly was hard,True,C-856
E-0000287,2024-06-26,Beauty,Brand Gamma,Lahore,2,130.39,2,caused irritation,True,C-229
E-0000288,2024-04-08,Clothing,Brand Beta,Karachi,5,223.63,1,too small,True,C-1487
